street_name,price,area,air_conditioning,fridge,washing_machine,mezzanine,kitchen,wardrobe,bed,balcony,elevator,free_time,parking,district,month,latitude,longitude,dist_to_q1_km,district_median_price,is_hot_street,amenity_ratio
Hòa Bình,3.0,25.0,1,0,0,0,1,0,0,0,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.2727272727272727
Phạm Văn Chiêu,2.6,22.0,1,1,1,0,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Tập Đoàn 6b,1.4,27.0,1,0,0,1,1,0,0,0,0,0,0,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.2727272727272727
Đào Duy Anh,3.3,22.0,0,0,1,0,1,0,0,0,0,1,0,Quận Phú Nhuận,6,10.8010601,106.6798946,3.5762603391364025,4.5,1,0.2727272727272727
Số 6,2.0,18.0,0,0,0,0,0,0,0,0,0,0,0,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.0
Lê Đức Thọ,3.0,40.0,0,0,0,0,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.09090909090909091
Tân Trụ,3.0,25.0,0,0,0,0,0,0,0,0,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.0
Số 59,3.0,30.0,1,0,0,1,1,0,0,0,0,1,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.36363636363636365
Cộng Hòa,4.5,30.0,1,1,0,1,1,1,0,0,1,0,1,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.6363636363636364
Nguyễn Trãi,4.5,25.0,1,1,1,0,1,1,1,0,1,0,0,Quận 1,6,10.7753939,106.6996249,0.0,5.0,0,0.6363636363636364
Phạm Văn Chiêu,3.5,25.0,1,0,0,0,1,0,0,0,0,0,1,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.2727272727272727
Thăng Long,4.5,42.0,1,0,1,0,0,0,0,0,1,1,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.36363636363636365
Trần Hưng Đạo,4.8,30.0,0,1,1,0,1,0,0,0,0,0,0,Quận 5,6,10.7558252,106.6683021,4.054910944499208,3.8,1,0.2727272727272727
Điện Biên Phủ,5.0,20.0,0,0,0,0,0,0,0,0,0,0,0,Quận 3,6,10.7788914,106.6869967,1.4331987175457273,4.5,0,0.0
Huỳnh Mẫn Đạt,4.0,28.0,0,0,0,0,0,0,0,0,0,1,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.09090909090909091
Nguyễn Văn Đậu,4.5,30.0,1,0,0,0,0,0,0,1,1,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.2727272727272727
Lã Xuân Oai,3.5,30.0,1,0,0,0,0,0,0,1,0,0,0,Quận 9,6,10.8441928,106.7791529,11.574703424951835,3.3,0,0.18181818181818182
Số,4.5,35.0,1,1,1,0,1,0,1,1,0,1,1,Quận 9,6,10.8441928,106.7791529,11.574703424951835,3.3,0,0.7272727272727273
1a,2.9,27.0,0,0,0,0,0,0,0,0,0,0,0,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.0
Hương Lộ,3.2,30.0,1,0,1,1,1,1,0,0,0,1,1,Quận Bình Tân,6,10.7704159,106.5995401,10.946786715251639,3.0,0,0.6363636363636364
Số 85,4.5,25.0,1,1,1,0,1,1,1,0,0,1,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.6363636363636364
Lê Thúc Hoạch,3.0,18.0,1,0,0,1,1,1,0,1,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.5454545454545454
Hòa Bình,3.9,20.0,1,1,0,0,1,1,1,0,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.5454545454545454
Cách Mạng Tháng Tám,0.95,30.0,1,0,0,0,1,0,1,0,0,1,0,Quận 1,6,10.7753939,106.6996249,0.0,5.0,0,0.36363636363636365
Trần Văn Kỷ,3.3,18.0,1,0,0,0,0,0,0,0,1,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.18181818181818182
Số 38,3.0,20.0,1,0,0,0,0,0,0,1,0,0,0,Quận 2,6,10.7912168,106.7619557,7.032141129098322,4.2,0,0.18181818181818182
Phạm Hữu Lầu,3.0,20.0,0,0,0,0,0,0,0,1,0,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.09090909090909091
Huỳnh Văn Nghệ,2.8,16.0,0,0,0,0,1,0,1,0,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.18181818181818182
Huỳnh Văn Nghệ,2.8,26.0,1,0,0,0,1,0,1,0,0,0,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.2727272727272727
Nguyễn Thị Minh Khai,4.5,20.0,0,0,1,0,1,0,0,0,0,1,0,Quận 1,6,10.7753939,106.6996249,0.0,5.0,0,0.2727272727272727
Unknown,1.8,30.0,0,0,0,1,1,0,0,1,0,0,0,Huyện Hóc Môn,6,10.8777329,106.5760523,13.961071149624273,2.3,0,0.2727272727272727
Bạch Đằng,3.4,20.0,1,0,1,0,0,0,0,0,0,1,0,Quận Tân Bình,6,10.8030931,106.6523519,6.012418782951292,4.0,0,0.2727272727272727
Số,4.0,30.0,0,0,0,0,0,0,0,0,0,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.0
Phan Văn Trị,4.8,25.0,1,0,1,0,0,0,0,0,1,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.2727272727272727
Nguyên Hồng,4.8,25.0,0,0,0,0,0,0,0,0,1,0,0,Quận Bình Thạnh,6,10.812271,106.7040393,4.128798019662786,4.8,0,0.09090909090909091
Số 83,5.4,25.0,1,1,0,0,0,1,0,1,0,1,1,Quận 2,6,10.7912168,106.7619557,7.032141129098322,4.2,0,0.5454545454545454
Nguyễn Thị Thập,4.0,30.0,0,0,1,1,0,0,0,0,0,1,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.2727272727272727
Đình Phong Phú,3.8,27.0,1,0,1,0,1,1,0,0,1,1,0,Quận 9,6,10.8441928,106.7791529,11.574703424951835,3.3,0,0.5454545454545454
Khuông Việt,3.1,28.0,0,0,1,0,0,0,0,0,1,0,1,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.2727272727272727
Hòa Bình,3.0,30.0,0,0,1,0,0,0,0,0,0,1,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.18181818181818182
Cách Mạng Tháng Tám,4.0,27.0,1,0,0,0,0,0,0,1,0,1,0,Quận 3,6,10.7788914,106.6869967,1.4331987175457273,4.5,0,0.2727272727272727
Hà Huy Giáp,2.1,22.0,0,0,0,0,0,0,0,0,0,0,0,Quận 12,6,10.8612653,106.6642083,10.30222218105053,3.0,0,0.0
Gò Dưa,3.0,25.0,0,0,0,0,0,0,0,1,0,0,0,Thủ Đức,6,10.8510238,106.7548953,10.35199028747128,3.0,0,0.09090909090909091
Tạ Quang Bửu,2.5,20.0,0,0,0,0,1,0,0,0,0,1,0,Quận 8,6,10.7211158,106.6292079,9.777699913085529,3.8,0,0.18181818181818182
Cao Lỗ,3.5,35.0,1,0,0,0,1,0,0,1,0,0,0,Quận 8,6,10.7211158,106.6292079,9.777699913085529,3.8,0,0.2727272727272727
Tạ Quang Bửu,3.5,30.0,1,0,0,0,0,0,0,1,0,0,0,Quận 8,6,10.7211158,106.6292079,9.777699913085529,3.8,0,0.18181818181818182
Số Đưường Đưường Số 25,3.5,24.0,0,0,0,0,0,0,0,0,0,0,0,Quận 6,6,10.7458901,106.6391994,7.371171471389253,3.6,0,0.0
Dương Quảng Hàm,3.0,30.0,1,0,0,1,1,0,0,0,0,0,0,Quận Gò Vấp,6,10.8352617,106.6740588,7.218946055948861,3.6,0,0.2727272727272727
Phan Xích Long,6.0,30.0,0,0,0,0,0,0,0,1,1,1,1,Quận Phú Nhuận,6,10.8010601,106.6798946,3.5762603391364025,4.5,0,0.36363636363636365
Nguyễn Duy Dương,1.9,42.0,1,0,1,0,1,0,1,0,0,1,0,Quận 10,6,10.7725282,106.6682021,3.4472229926353735,4.5,0,0.45454545454545453
Huỳnh Tấn Phát,3.6,20.0,1,0,0,0,1,0,1,1,0,0,0,Quận 7,6,10.7375669,106.7296597,5.3345166839116684,4.0,0,0.36363636363636365
Gò Dầu,3.8,30.0,1,0,1,0,0,0,0,1,0,0,0,Quận Tân Phú,6,10.7918681,106.6277515,8.06170727164738,3.6,0,0.2727272727272727
